sensor,bucket,timestamp,value,type
['kitchen_PIR'],1_5_9,1730475409000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730475483000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730475489000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730475508000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730475519000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730475635000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730475660000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730476008000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730476022000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730476049000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730476055000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730476250000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730476277000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730476287000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730476299000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730477455000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730477465000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730477480000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730477506000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730477589000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730477637000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730477780000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730477806000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730477839000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730477847000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730477912000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730477963000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730477981000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730477997000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478016000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478025000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478038000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478047000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478059000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478102000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478114000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478131000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478160000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478180000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478200000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478210000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478227000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478252000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478271000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478290000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478341000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478359000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478407000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478425000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478731000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730478837000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730479166000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730479938000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730480073000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730482355000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730483001000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730483195000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730483239000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730483418000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730483427000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730483463000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730483490000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730483507000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730483516000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730483522000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730483545000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730483564000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730483577000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730483592000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730483615000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714153000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714168000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714184000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714198000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714217000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714233000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714248000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714255000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714274000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714286000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714296000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714324000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714344000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714351000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714360000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714369000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714379000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714417000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714445000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714454000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714469000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714476000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714485000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730714508000.0,kitchen,sensor
