sensor,bucket,timestamp,value,type,sensor_encoded
livingroom_PIR,1_4_7,2024-11-10 08:01:32.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:02:19.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:10:46.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:18:08.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:19:56.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:27:47.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:29:00.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:29:42.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:33:03.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:38:08.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:38:22.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:38:30.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:38:47.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:40:21.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:41:51.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:45:32.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:47:21.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:52:08.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:53:55.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:56:25.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:56:45.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 08:58:56.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 09:05:33.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 09:05:54.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 09:08:12.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 09:08:45.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 09:09:11.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 09:19:50.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 09:23:57.000,livingroombedarea,sensor,2
livingroom_PIR,1_4_7,2024-11-10 09:24:30.000,livingroombedarea,sensor,2
bathroom_PIR,1_3_6,2024-11-10 09:24:50.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:25:08.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:25:22.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:25:32.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:26:41.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:26:54.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:27:03.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:27:15.000,bathroom,sensor,0
bathroom_PIR,1_3_6,2024-11-10 09:28:02.000,bathroom,sensor,0
