group_id,value,start_time,end_time,duration,duration_seconds
61,kitchen,2024-12-13 19:04:14.255,2024-12-13 19:04:39.250,0 days 00:00:24.995000,24.995
62,bathroom,2024-12-13 19:04:40.596,2024-12-13 19:07:11.760,0 days 00:02:31.164000,151.164
63,kitchen,2024-12-13 19:07:30.035,2024-12-13 19:07:30.035,0 days 00:00:00,0.0
64,bathroom,2024-12-13 19:07:38.531,2024-12-13 19:09:07.998,0 days 00:01:29.467000,89.467
65,kitchen,2024-12-13 19:11:54.485,2024-12-13 19:40:37.125,0 days 00:28:42.640000,1722.64
66,bathroom,2024-12-13 19:40:42.942,2024-12-13 19:45:50.425,0 days 00:05:07.483000,307.483
67,kitchen,2024-12-13 19:46:02.452,2024-12-13 19:46:32.085,0 days 00:00:29.633000,29.633
68,bathroom,2024-12-13 19:46:35.028,2024-12-13 19:46:35.028,0 days 00:00:00,0.0
69,kitchen,2024-12-13 19:46:38.353,2024-12-13 19:46:38.353,0 days 00:00:00,0.0
70,bathroom,2024-12-13 19:46:42.713,2024-12-13 19:46:50.060,0 days 00:00:07.347000,7.3469999999999995
71,kitchen,2024-12-13 19:47:00.068,2024-12-13 19:47:56.384,0 days 00:00:56.316000,56.316
72,bathroom,2024-12-13 19:48:03.254,2024-12-13 19:48:03.254,0 days 00:00:00,0.0
73,kitchen,2024-12-13 19:48:04.186,2024-12-13 19:48:04.186,0 days 00:00:00,0.0
74,bathroom,2024-12-13 19:48:10.082,2024-12-13 19:48:21.053,0 days 00:00:10.971000,10.971
75,kitchen,2024-12-13 19:48:26.017,2024-12-13 19:48:26.017,0 days 00:00:00,0.0
76,bathroom,2024-12-13 19:48:32.216,2024-12-13 19:49:21.038,0 days 00:00:48.822000,48.822
77,kitchen,2024-12-13 19:49:24.754,2024-12-13 19:49:24.754,0 days 00:00:00,0.0
78,bathroom,2024-12-13 19:49:33.757,2024-12-13 19:49:50.140,0 days 00:00:16.383000,16.383
79,kitchen,2024-12-13 19:49:50.708,2024-12-13 19:50:00.533,0 days 00:00:09.825000,9.825
80,bathroom,2024-12-13 19:50:06.486,2024-12-13 19:50:06.486,0 days 00:00:00,0.0
81,kitchen,2024-12-13 19:50:16.332,2024-12-13 19:50:16.332,0 days 00:00:00,0.0
82,bathroom,2024-12-13 19:50:16.896,2024-12-13 19:50:16.947,0 days 00:00:00.051000,0.051
